job,org,fg,cat,grp,outq,uom,lot,d,n_rm,val,file
130828,POI - Alathur MFG,MWROBULK00000054,Performance Chemicals,Water Treatment Chemical,980.0,KG,130828 POI26050871,2026-05-13,4,71039.73000000001,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
145743,PSM - Thervoykandigai MFG,MTPRBULK00000040,Performance Chemicals,Textile & Paper Division,500.0,KG,145743,2026-07-21,7,70998.8,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133538,PSM - Thervoykandigai MFG,MGCNAX000PUSY120,General Chemicals,GC2,500.0,KG,133538 BJ PPS26060766,2026-07-07,11,70380.01000000001,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133664,PSM - Thervoykandigai MFG,MGCNAX000PUSY128,General Chemicals,GC2,551.0,KG,133664 BJ PPS26060768,2026-07-09,10,69389.15,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
131681,PSM - Thervoykandigai MFG,MTPRHDCB00050125,Performance Chemicals,Textile & Paper Division,2000.0,KG,"131681 PPS26050622, 131681 PPS26050623",2026-05-30,6,68958.52,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131016,PSM - Thervoykandigai MFG,MTFCBULK00000086,Performance Chemicals,Textile & Paper Division,1000.0,KG,131016 BJ PPS26050556,2026-05-16,6,67902.27,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
131406,PSM - Thervoykandigai MFG,MTFCBULK00000086,Performance Chemicals,Textile & Paper Division,1000.0,KG,131406 BJ PPS26050597,2026-05-25,6,67894.20999999999,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
132561,PSM - Thervoykandigai MFG,MTPRBULK00000235,Performance Chemicals,Textile & Paper Division,1000.0,KG,132561 BJ PPS26060702,2026-06-17,4,67560.22,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
158432,PSM - Thervoykandigai MFG,MTPCBULK00000988,Performance Chemicals,Textile & Paper Division,484.7,KG,158432 BJ PPS26080967,2026-08-11,15,66528.51,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132960,PSM - Thervoykandigai MFG,MTPPBULK00000015,Performance Chemicals,Textile & Paper Division,680.0,KG,132960 BJ PPS26060737,2026-06-25,11,64935.79,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158050,POI - Alathur MFG,MTDABULK00000097,Performance Chemicals,Textile & Paper Division,323.3,KG,158050,2026-08-01,4,62616.91,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133732,PSM - Thervoykandigai MFG,MTPRBULK00000093,Performance Chemicals,Textile & Paper Division,250.0,KG,133732 BJ PPS26070823,2026-07-11,6,62547.82,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158167,PSM - Thervoykandigai MFG,MCPCBULK00000278,Performance Chemicals,PNC Division,92.0,KG,158167 BJ PP2606041,2026-08-04,4,62424.94,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
142748,PSM - Thervoykandigai MFG,MLSCBULK00000040,Performance Chemicals,Speciality Chemicals Division,299.0,L,"142748 BJ PPS26060708, 142748 BJ PPS26070854",2026-07-20,3,59843.31,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
152762,PPM - Gummudipoondi MFG,MVMPCCB20D500013,NPD,Vooki Division,44.0,BOX,152762 POI2605069709,2026-07-22,4,58835.79,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133864,POI - Alathur MFG,TD12HDCB00025111,Performance Chemicals,Raw  Material,205.5,KG,133864,2026-07-14,1,58725.96,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158128,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,39.5,L,158128 POI260620050,2026-08-03,4,58185.52,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
131391,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,40.5,L,131391 POI260520028,2026-05-25,4,57908.63,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
129897,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,42.0,L,129897 POI260520027,2026-05-12,4,57312.77,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
156774,PSM - Thervoykandigai MFG,MVMPCBKLK0000544,NPD,Vooki Division,195.87,BOX,"156774 PPS26040129, 156774 PPS26040450",2026-07-25,20,56338.24,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
128881,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,41.0,L,128881 POI260420015,2026-04-15,4,54933.46,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
798348,PSM - Thervoykandigai MFG,MOCSBULK00000035,Performance Chemicals,Speciality Chemicals Division,760.0,KG,798348 BJ PPS26060690,2026-06-11,5,54637.18,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
128573,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,41.0,L,128573 POI260320010,2026-04-07,4,54543.0,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129716,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,41.0,L,129716 POI260520026,2026-05-06,4,54310.99,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
132958,PSM - Thervoykandigai MFG,MTPCBULK00000A09,Performance Chemicals,Textile & Paper Division,1400.0,KG,"132958 BJ PPS26060735, 132958 BJ PPS26060748",2026-06-25,3,53968.82000000001,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132695,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,980.4,L,132695 POI26061045,2026-06-19,13,53123.61,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131371,PSM - Thervoykandigai MFG,MCPCBULK00000241,Performance Chemicals,PNC Division,103.0,KG,131371 BJ PPS26050582,2026-05-23,8,53025.19,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
133988,PSM - Thervoykandigai MFG,MTPWBULK00000078,Performance Chemicals,Textile & Paper Division,420.0,KG,133988 BJ PPS26070834,2026-07-16,8,52545.45,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132693,PSM - Thervoykandigai MFG,MTDABULK00000085,Performance Chemicals,Textile & Paper Division,500.0,KG,132693 BJ PPS26060666,2026-06-19,4,51980.979999999996,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131676,PSM - Thervoykandigai MFG,MCPCBULK00000071,Performance Chemicals,PNC Division,288.0,KG,131676 BJ PPS26040395,2026-05-29,6,51149.229999999996,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
155814,POI - Alathur MFG,MTDABULK00000067,Performance Chemicals,Textile & Paper Division,787.0,KG,155814 POI59071460,2026-07-24,9,50557.009999999995,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
140748,POI - Alathur MFG,MTDABULK00000067,Performance Chemicals,Textile & Paper Division,784.0,KG,"140748 POI26071405, 140748 POI26071429",2026-07-20,9,50469.74,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133567,POI - Alathur MFG,MTDABULK00000067,Performance Chemicals,Textile & Paper Division,790.0,KG,"133567 POI26071356, 133567 POI26071378",2026-07-07,9,50469.6,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
131773,POI - Alathur MFG,MVMPCCB20D500007,NPD,Vooki Division,47.0,BOX,131773 POI26050869,2026-06-01,5,48953.31,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
